{5BBE9CB3-6332-4EB0-9CD3-8737CEA4A65A},42000,21/12/1995 00:00,NE4 9DN,S,N,F,8,,MATFEN PLACE,FENHAM,NEWCASTLE UPON TYNE,NEWCASTLE UPON TYNE,TYNE AND WEAR,A,A
{E4EEF148-B33A-45C4-BDAF-E4469F73E827},147500,26/05/1995 00:00,SW3 1LJ,F,N,L,23,FLAT B,OVINGTON SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{C5380B36-9A2C-4D4E-9339-932267A7B9EF},790000,28/07/1995 00:00,SW7 3QQ,T,N,F,2,,SELWOOD PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{33728A02-290D-43D5-827A-B37B6856A895},338000,28/11/1995 00:00,SW7 5PL,F,Y,L,51,FLAT 11,QUEENS GATE TERRACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{423C7335-164E-4273-BB93-F31EAD9DBF66},133313,31/03/1995 00:00,W10 6QP,T,N,F,15,,SNARSGATE STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{AEC4AF67-9876-404B-A84C-EF9AA94ABD30},168010,02/06/1995 00:00,SW5 0AY,F,N,L,15,FLAT 4,GLEDHOW GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{DF4B5DDF-D35F-492D-920E-EF9B3A1EB24A},94000,14/08/1995 00:00,W11 4SY,T,N,F,24,,ROYAL CRESCENT MEWS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{5CFB6A76-25AA-42B3-8CF2-9DCD25AF71AF},59000,31/10/1995 00:00,SW5 9HY,F,N,L,47,,REDCLIFFE CLOSE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{AEE6BC19-90E7-4CA2-8E83-EF9DE781659F},153500,15/09/1995 00:00,W11 2LA,F,N,L,10,FLAT 1,ARUNDEL GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{DEEF2629-6573-4CC3-8A62-B204E58BB8CA},725000,20/11/1995 00:00,SW3 4UY,T,N,F,10,,MARKHAM SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{3D822950-10C6-485B-9E31-AFF50104D4F6},237000,30/06/1995 00:00,SW5 0NA,F,N,L,46B,,COURTFIELD GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{D86BB603-288C-4A2D-A8A6-9DCFC6E049E9},1100000,15/06/1995 00:00,W8 7BH,T,N,L,24,,STAFFORD TERRACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{7EA87062-C950-4CA7-A466-A7668A43B094},110000,30/01/1995 00:00,SW7 2RU,F,N,L,EMPIRE HOUSE,FLAT 27,THURLOE PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{4860EBC1-47F0-4018-BCCB-B2075D700464},305000,17/07/1995 00:00,W11 2RH,T,N,F,186,FLAT,WESTBOURNE GROVE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{044492D9-A8E5-48DB-8E44-932DEE930CA3},166000,16/05/1995 00:00,W11 2LN,F,N,L,19,FLAT B,ARUNDEL GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{0D0121C5-0693-4923-AB96-A76BA22A2B2E},285000,25/04/1995 00:00,SW3 5HN,F,N,L,"PIER HOUSE, 31",FLAT 115,CHEYNE WALK,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{1AEFDD47-3966-4BBC-BCD2-9A453AE57657},151000,12/07/1995 00:00,W8 5LJ,F,N,L,4,,MARLOES ROAD,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{2452099F-18F4-4BA2-9070-9333440242DB},215000,12/09/1995 00:00,SW1X 0JZ,F,N,L,39,FLAT 1,HANS PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{B5631DDB-A568-4ACC-A298-AAEEDDB50F18},100000,17/11/1995 00:00,SW1W 8DJ,F,N,L,24,FLAT 9,SLOANE GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{492B5DDB-AEB0-4B28-A1A5-A76CAC9BB4BE},119000,18/07/1995 00:00,W11 2LP,F,N,L,"ARUNDEL COURT, 43 - 47",FLAT 11,ARUNDEL GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{037FAF3B-BFDE-42B4-BE09-FA374B620014},167500,04/05/1995 00:00,W11 4UT,F,N,L,143,FLAT 8,HOLLAND PARK AVENUE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{15016D6A-D863-4B33-9740-F32E360D17D7},264000,06/11/1995 00:00,W11 3DT,F,N,L,9,FLAT 3,PEMBRIDGE CRESCENT,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{607A5F85-6B0E-462B-B465-9DDE00C4D99B},65950,25/07/1995 00:00,W11 3LB,F,N,L,117A,,NOTTING HILL GATE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{6B82D411-0862-46F5-8AD8-AAF5756DA5B9},600000,15/06/1995 00:00,SW1X 0EQ,F,N,F,57,,CLABON MEWS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{C200617D-89FA-4705-B6F9-A8E52A300C34},132500,25/05/1995 00:00,SW3 2JX,F,N,L,"MARLBOROUGH, 61",FLAT 72,WALTON STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{FDEA7E05-0EB4-461F-AF45-A1733582406A},505000,06/12/1995 00:00,SW3 4BT,T,N,F,49,,RADNOR WALK,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{63C19FB2-748D-46C0-867C-A1737AE1EFB0},250000,26/05/1995 00:00,W11 3DH,T,N,F,32,,PORTOBELLO ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{34F3C932-98B8-4632-AEF9-AE8C0394593F},191000,06/12/1995 00:00,W11 1DF,T,N,F,15,,ST LUKES MEWS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{7600387F-AE4B-4C0E-B69E-B59FA9D40BD3},175000,28/07/1995 00:00,SW10 9BN,F,N,L,58,FLAT A,REDCLIFFE SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{C8062BD1-2311-4EB9-BF4B-F3371565AEE3},607500,26/05/1995 00:00,SW7 3QA,F,N,L,50,FLAT 2,ONSLOW GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{1A324771-5BE8-4106-BB27-A7781CE5D2AF},430000,11/07/1995 00:00,SW7 5QJ,T,N,F,13,,QUEENS GATE MEWS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{F358B3B4-B8C9-4622-AA64-B396ED6B7553},188500,29/09/1995 00:00,W8 4RN,F,N,L,2,FLAT 2,INVERNESS GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{2069236A-F7CC-4BF1-8CA9-9A51C8F5BD09},307500,25/07/1995 00:00,W2 4HA,F,N,L,1,FLAT 2,LINDEN GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{608CF10C-1DB2-4BCC-B126-EFB2FD8FB642},585000,04/05/1995 00:00,W11 2AQ,T,N,F,107,,LEDBURY ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{FD9DE05B-8BFC-43FD-AD85-B39876741F28},590000,17/03/1995 00:00,SW10 0HR,T,N,F,11,,LAMONT ROAD,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{0D7DCE51-6389-407F-AC4C-9A52B0BAC8DB},180000,07/07/1995 00:00,SW5 9QN,F,N,L,8,FLAT 7,,LUSTRELLS VALE,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{5FA06B25-47AE-467C-AC82-AAFE1C04B4A1},106000,07/03/1995 00:00,SW5 9EZ,F,N,L,97,FLAT E,WARWICK ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{CDDD7FEB-926F-4CA6-B3E8-B5A758529BA4},165000,12/12/1995 00:00,SW7 2PA,F,N,L,72,FLAT 1,PRINCES GATE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{F0F5844A-2A2D-4FED-A198-9DE96380E43A},185000,28/06/1995 00:00,W11 3PP,F,N,L,"BONHAM HOUSE, 107",FLAT 9,LADBROKE ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{B73A35D9-5769-456A-A167-A17D3D0B2A0D},125000,29/09/1995 00:00,SW5 9DJ,F,N,L,WETHERBY MANSIONS,FLAT 20B,EARLS COURT SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{966652B4-E47F-4CAC-8A60-96C31819CF6B},260000,27/07/1995 00:00,SW3 2LA,T,N,F,1,,RICHARDS PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{D9866F4B-E495-41B0-9366-9347A865A65E},240000,31/03/1995 00:00,W11 3PG,F,Y,L,"CHARTWELL HOUSE, 12",FLAT 8,LADBROKE TERRACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{BBA4729F-EAF7-4510-AE84-B01435BDE0C6},235000,17/03/1995 00:00,SW10 9HP,F,N,L,CECIL COURT,FLAT 21,FAWCETT STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{090B4683-4CE7-43F0-BC88-AC8FD2CD4ECC},55000,08/06/1995 00:00,W2 4EB,F,N,L,23,FLAT 4,PEMBRIDGE GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{4DD75528-55F0-4641-A436-B3A1F4711FC4},272000,28/02/1995 00:00,W8 4LY,T,N,F,21,,DRAYSON MEWS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{E5B09D38-A913-4410-9555-F6D532C8167F},370000,23/10/1995 00:00,SW7 3PF,F,N,L,25,FLAT 3,ROLAND GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{F4515780-0B85-4280-AC8D-A7842613250F},111000,24/11/1995 00:00,W11 2LD,F,N,L,"LIDDIARD HOUSE, 105 - 111",FLAT 3,LANSDOWNE ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{B6757D79-A120-43F5-80AC-AE9BF3F90EB8},367000,23/01/1995 00:00,W8 7HY,F,Y,L,8,FLAT 6,OBSERVATORY GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{1FF833C1-5ED4-4FEF-95DF-934BBE641B61},174000,15/11/1995 00:00,W8 4AL,F,N,L,40B,,BRUNSWICK GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{838525A8-9F34-4D35-AA89-9DF1E6C036F5},350000,31/05/1995 00:00,SW3 6BS,T,N,F,135,,BEAUFORT STREET,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{FB462173-8DE2-4A1F-99A8-F34560494CBF},820000,28/02/1995 00:00,SW1X 9JU,F,N,L,47,FLAT 11,LOWNDES SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{5E0944F0-A636-42B9-B728-EFC10105FDEF},472500,17/01/1995 00:00,SW3 3NP,T,N,F,5,,MARKHAM STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{36560FFE-43DB-403D-A98E-FA4FE962CD47},118000,21/07/1995 00:00,W11 3QW,F,N,L,"CAMPDEN HILL TOWERS, 112",FLAT 26,NOTTING HILL GATE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{C1298848-B418-4D52-8BAD-9DF3A24ECA7F},390000,12/12/1995 00:00,W8 6UJ,T,N,F,38,,ADAM AND EVE MEWS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{C369BDAC-3F78-4A2E-8E66-F6D9B19375BA},94175,10/02/1995 00:00,W11 1EE,F,N,L,279,FLAT 3,WESTBOURNE PARK ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{825F812B-BECD-45C1-9AF6-B5B404B1AEA5},285000,25/04/1995 00:00,SW3 2JL,T,N,F,160,,WALTON STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{E3D6DCA2-9398-4AD6-8601-AC9B7A85A1F2},87500,01/09/1995 00:00,SW5 0BZ,F,N,L,"BOLTONS COURT, 216",FLAT 25,OLD BROMPTON ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{D964513E-DD52-46FE-90DE-EFC9A37EEA48},110000,15/05/1995 00:00,SW3 1RD,F,N,L,34,,WALTON STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{2AE901C0-A938-4275-AAE4-9A67BD24C23C},625000,15/08/1995 00:00,W8 7NA,T,N,F,20,,SHEFFIELD TERRACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{1BA5366F-E451-4733-A8D9-9357AFF8560B},350000,30/05/1995 00:00,W8 7QG,D,N,F,31,,PHILLIMORE GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{EEC84DAC-2176-4D8B-9B7F-B2312F3527E1},405000,13/01/1995 00:00,SW3 3HH,F,N,L,CRANMER COURT,BOXROOM 164,WHITEHEADS GROVE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{1162A8A4-8D25-4F3E-8B8D-B02310E8A44A},147500,07/06/1995 00:00,W8 4BN,F,N,L,172,FLAT 2,KENSINGTON CHURCH STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{3ACC326F-A8C1-41FA-88BD-96D6164F3D51},235000,20/01/1995 00:00,W8 4EY,F,N,L,YORK HOUSE,16A,YORK HOUSE PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{FA747815-DF99-49E6-9F1B-FA5A928D3365},445000,21/04/1995 00:00,W8 5LA,F,N,L,CEDAR HOUSE,FLAT 11,MARLOES ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{63CFE631-DDAC-487A-B83D-B232BD9E01D2},84000,18/12/1995 00:00,SW3 3BA,F,N,L,NELL GWYNN HOUSE,FLAT 315,SLOANE AVENUE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{859859B3-FF1E-452E-8AFE-9359B89C4B86},475000,31/08/1995 00:00,SW3 4XD,T,N,F,9,,BYWATER STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{1C2F9F00-C4AE-465F-A572-F35431869A68},80000,15/05/1995 00:00,SW1X 9PP,F,N,L,"OAKLEY HOUSE, 103",FLAT 31,SLOANE STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{0442FF4B-0323-463E-B946-B3B308B1FFD7},100000,24/07/1995 00:00,SW10 0AR,F,N,L,ELM PARK MANSIONS,FLAT 113,PARK WALK,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{37076332-030F-49FE-91BA-AB1A2F75FE15},143000,22/05/1995 00:00,SW1W 8DJ,F,N,L,34,FLAT 6,SLOANE GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{AAC362DD-F2E3-4C15-BECE-B239D15628A2},123600,11/09/1995 00:00,SW7 5JE,F,N,L,19,,QUEENS GATE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{7720A802-7438-4089-AFF6-A197504E9119},86000,10/03/1995 00:00,SW3 3JL,F,N,L,SLOANE AVENUE MANSIONS,FLAT F7,SLOANE AVENUE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{7F50DB4B-E965-4D43-B7C5-9A7043B3FDCC},101000,29/09/1995 00:00,SW10 0SA,F,N,L,13,SECOND FLOOR FLAT,TETCOTT ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{A035BC15-1E92-429D-BCD0-B23B3655A482},185000,03/08/1995 00:00,W11 2LA,F,N,L,14C,,ARUNDEL GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{A7F6B02F-C738-4DA0-B9FB-B3B6EA07EF34},117500,23/10/1995 00:00,SW3 2LP,F,N,L,SOUTH HOUSE,FLAT 3,ROSEMOOR STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{FCB94D82-CEC8-4702-BD96-B02B63BAFCB7},520000,11/10/1995 00:00,W14 8JZ,F,N,L,110,,OAKWOOD COURT,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{D0D6A6FF-DFCE-4B1E-8BC2-9A70AE63B317},129850,13/02/1995 00:00,SW7 5QX,F,N,L,21 - 22,FLAT 16,STANHOPE GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{AF91C0D3-3E52-4B52-92BA-B23C36316F9D},395000,20/10/1995 00:00,SW10 9EA,T,N,F,10,,COLEHERNE MEWS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{16B66BF3-49BE-43C1-A7C9-96E353330687},105000,01/03/1995 00:00,SW3 6BU,F,N,L,98,FLAT 5,BEAUFORT STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{01C78E59-A49B-4EC9-998C-FA6747992329},136000,04/01/1995 00:00,SW5 9TL,F,N,L,NEVERN MANSIONS,FLAT 22A,WARWICK ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{ACA3DB6B-34E2-4EA8-B51A-B3BE71614CA8},177000,24/10/1995 00:00,SW7 2SR,F,N,L,41,BASEMENT FLAT,THURLOE SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{C3C060EC-38E4-45A0-B89B-936559F2AB20},270000,20/06/1995 00:00,SW1X 0DH,F,N,L,36,FLAT 2,LENNOX GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{37EACBE7-F76B-4D4C-8173-ACAB70E43923},535000,21/02/1995 00:00,SW10 0BL,T,N,F,75,,LIMERSTON STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{6B198A90-4100-4813-BC3D-A5935BDEA1AF},97000,21/07/1995 00:00,SW3 3JW,F,N,L,SLOANE AVENUE MANSIONS,FLAT H5,SLOANE AVENUE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{AA8CF36A-75A3-48E7-8791-9A7B068A9D02},158500,25/08/1995 00:00,W8 4HF,F,N,L,VICARAGE COURT,FLAT 40,VICARAGE GATE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{4B27AAC9-03A6-41E0-9A1B-B038664EA018},192500,27/01/1995 00:00,W10 6HS,F,N,L,96,TOP FLAT E,CAMBRIDGE GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{85B9EB44-42CE-426B-8631-9A7CFDEB09C7},760000,02/02/1995 00:00,W8 5RN,S,N,F,30,,LAUNCESTON PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{A3ABB271-7E10-4D98-AC4A-AB2A2BDC3215},187000,02/06/1995 00:00,W10 6PT,T,N,F,46,,HIGHLEVER ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{B76EC4AC-CF75-499C-9A87-ACB297A08777},91000,03/01/1995 00:00,W11 4SN,F,N,L,23,,ROYAL CRESCENT,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{DA2C1F0B-57C3-4736-8FB3-B3C70DC7ECC4},109000,10/05/1995 00:00,W8 5JR,F,N,L,35,FLAT 9,LEXHAM GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{C76100F2-8315-4D04-89F6-F367B8951646},260000,02/10/1995 00:00,W8 4PD,F,N,L,"OLD COURT HOUSE, 24",FLAT 45,OLD COURT PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{C374BA55-E43F-431E-9CFE-B3C910C22955},105000,23/05/1995 00:00,W8 7DJ,F,N,L,STAFFORD COURT,FLAT 22B,KENSINGTON HIGH STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{D74B3CB4-C393-46DE-BF8A-A7AA4B0A9A8E},218500,14/02/1995 00:00,W11 2LS,F,N,L,108,LOWER GROUND FLOOR FLAT,LANSDOWNE ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{5880FA16-1909-4EAC-BC18-93725B612F53},270000,24/02/1995 00:00,SW5 0BU,F,N,L,"FALCON HOUSE, 202",FLAT 10,OLD BROMPTON ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{D5458F5D-907F-4ADD-84B2-EFE702C69722},95000,08/12/1995 00:00,SW3 3EE,F,N,L,CHELSEA CLOISTERS,335,SLOANE AVENUE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{D6E7F8AC-61CD-4F25-AB11-B250A3C18E67},117000,27/11/1995 00:00,SW3 5BY,F,N,L,26,FLAT 1,OLD CHURCH STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{78F7FA29-CE9E-46CD-9330-F7021745A860},450000,20/04/1995 00:00,SW1W 8EB,F,N,L,35,FLAT C,SLOANE GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{B19113D6-FBAF-4BA5-BEA8-A7B0061DE911},128000,26/05/1995 00:00,SW5 9LA,F,N,L,3,FLAT 1,KEMPSFORD GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{D800650C-59F2-4805-BE40-A5A58F60E587},740000,06/11/1995 00:00,SW3 5DT,T,N,F,36A,,PAULTONS SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{45DFD4D7-F4E8-41EF-8D46-BE3ED281EFCC},118000,08/08/1995 00:00,SW10 9DF,T,N,L,17,,FINBOROUGH ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{4C25A99C-5429-485B-AC02-C1C5D97AB26C},330000,07/08/1995 00:00,W8 7ET,T,N,F,49,,CAMPDEN STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{205EE060-9938-46E2-955C-BE41093936AF},220000,31/08/1995 00:00,SW7 3NH,F,N,L,27,FLAT 1,ONSLOW SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{5CEB0F3A-EC18-47C9-B02F-C1C6F26BDFAF},260000,10/03/1995 00:00,W11 4QE,T,N,F,5,,QUEENSDALE ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{64B15A79-8C23-43B1-AD0F-A5A87E55E441},135000,27/04/1995 00:00,SW3 2DB,F,N,L,"SOUTHWELL HOUSE, 34 - 36",FLAT L,EGERTON GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{3B941383-3107-49F1-9ED8-B3D91A17F974},138000,31/08/1995 00:00,W2 4JL,F,N,L,23,FLAT 4,CLANRICARDE GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{4FA831FE-3B59-4279-9E77-EFF319310D5F},235000,26/05/1995 00:00,SW5 0HQ,F,N,L,45,FLAT 8,BRAMHAM GARDENS,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{6894B372-B554-4FB6-93E7-A92B9D8F3A93},150000,09/06/1995 00:00,W8 6HN,F,N,L,PEMBROKE COURT,FLAT 15,SOUTH EDWARDES SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{395F3558-B4AF-4B76-93AE-B5E48CF0A1B4},265000,07/06/1995 00:00,W11 3SP,T,N,F,38,,HOLLAND PARK MEWS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{4FC8266C-79BD-4482-A3FB-C54F8EC18040},115000,28/04/1995 00:00,SW3 4TH,F,N,L,YORK HOUSE,FLAT 17,TURKS ROW,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{4C9784D0-7047-40AB-AD2A-AED4BA3E6F00},116000,09/06/1995 00:00,SW5 9DA,F,N,L,"QUEENS COURT, 25 - 27",FLAT 2,EARLS COURT SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{19BC4AF4-B288-461F-AED9-B04F37D40F9E},117000,24/02/1995 00:00,W10 6HH,F,N,L,187,FLAT 3,LADBROKE GROVE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{4EB2F6F3-EA53-49A7-AA30-F37CDD8907B3},500000,20/07/1995 00:00,SW3 4LA,F,N,L,"CHEYNE HOUSE, 18",FLAT 5,CHELSEA EMBANKMENT,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{7367DA94-D0ED-4B59-8AB7-BAB80EF1782A},55000,20/02/1995 00:00,W11 1AW,F,N,L,64,FLAT 1,TAVISTOCK ROAD,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{9EBA463D-CCA5-4171-9A5D-F713D644F3AD},190000,15/11/1995 00:00,W8 6LZ,F,N,L,"HUNTSMORE HOUSE, 35",FLAT 41,PEMBROKE ROAD,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{B1E79C52-9470-4382-84CB-B2647366C89A},140000,16/08/1995 00:00,SW3 4LJ,F,N,L,"MORETON HOUSE, 3 - 4",FLAT 3,EMBANKMENT GARDENS,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{2F117E66-4730-4406-9E23-C5579AD9FF8F},410000,25/08/1995 00:00,SW10 9RB,T,N,F,31,,CRESSWELL PLACE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{6BE92AF5-4C24-4C44-8DCB-A5B61CE94E21},257000,03/11/1995 00:00,SW3 5TS,F,N,L,43A,,CHEYNE COURT,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{EE7CB604-C743-4E0E-8F57-FE16836A6BF5},510000,21/08/1995 00:00,SW3 4XD,T,N,F,8,,BYWATER STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{E9C4E1ED-DA71-47D3-BDE4-B73AF8D513D6},73260,20/10/1995 00:00,SW3 3EW,F,N,L,CHELSEA CLOISTERS,701,SLOANE AVENUE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
